ISO_3166-1_alpha-2,ISO_3166-1_alpha-3,_category,_type,continent,country,country_code,state,state_code,town,formatted,confidence,original_address,j_UtilityID,j_Project Name,j_City,j_State,j_Utility,j_Utility Type,j_Basic Structure,j_System Size (MW-AC),j_System Size (MW-DC),j_Year of Interconnection
US,USA,building,building,North America,United States of America,us,Washington,WA,,"8600 Northeast 117th Avenue, Vancouver, WA 98662, United States of America","10","8600 NE 117th Ave, Vancouver, WA 98662","3,660",Clark Community Solar Project 5,Vancouver,WA,PUD No 1 of Clark County - (WA),Political Subdivision,Consumer-owned utility,0.0316,0.003025,"2,015"
US,USA,building,building,North America,United States of America,us,Washington,WA,Prosser,"84009 W Old Inland Empire Hwy, Prosser, WA, United States of America","10","84009 W Old Inland Empire Hwy, Prosser, WA 99350","1,579",Old Inland Empire Community Solar Project,Prosser,WA,PUD No 1 of Benton County,Political Subdivision,Consumer-owned utility,0.02,0.03,"2,016"
US,USA,road,road,North America,United States of America,us,Alaska,AK,Fairbanks,"Vega Ct, Fairbanks, AK, United States of America","3","VVQ7+M5, Shungnak, AK 99773","221",Shungnak-Kobuk Community Solar Independent Power Producer,Shungnak,AK,"Alaska Village Elec Coop, Inc",Cooperative,Cooperative,0.06,0.08,"2,011"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,,"Beltrami Electric Cooperative, 4111 Technology Drive Northwest, Bemidji, MN 56601, United States of America","10","4111 Technology Dr NW, Bemidji, MN 56601","1,529",Northern Solar,Bemidji,MN,"Beltrami Electric Coop, Inc",Cooperative,Rural electric cooperative,0.03,0.04,"2,016"
US,USA,building,building,North America,United States of America,us,Washington,WA,Edmonds,"Frances Anderson Center, 700 Main Street, Edmonds, WA 98020, United States of America","10","700 Main Street Edmonds, WA 98020","17,470",Frances Anderson Center Solar Project,Edmonds,WA,PUD 1 of Snohomish County,Political Subdivision,Cooperative,0.12,0.16,"2,017"
US,USA,building,building,North America,United States of America,us,Massachusetts,MA,Wareham,"1 Express Drive, South Wareham, Wareham, MA 02579, United States of America","10","1 Express Dr Wareham, MA 02571","9,267",Wareham Community Solar Array,Wareham,MA,NSTAR (DBA EverSource),Cooperative,Cooperative,0.1,0.13,"2,016"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,,"19141 293rd Avenue, Paynesville Township, MN 56362, United States of America","10","19141 293rd Ave, Paynesville, MN 56362","13,781","Allium Community Solar Garden, LLC",Paynesville,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.1,0.13,"2,015"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,,"550 South 4th Street, Tracy, Lyon County, MN 56175, United States of America","10","550 S 4th St, Tracy, MN 56175","13,781","Aquarius Community Solar Gardens, LLC",Tracy,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.15,0.2,"2,017"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,,"19592 MN 28, Glenwood, Pope County, MN 56334, United States of America","10","19592 MN-28, Glenwood, MN 56334","13,781","Aquila Community Solar Gardens, LLC",Glenwood,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,4,5.2,"2,013"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,,"45823 State Highway 22, Kasota Township, MN 56050, United States of America","10","45823 MN-22, Kasota, MN 56050","13,781","Arcturus Community Solar Gardens, LLC",Kasota,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.13,0.16,"2,015"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,,"598 135th Street Southwest, Edwards Township, MN 56282, United States of America","10","598 135th St SW Raymond, MN","13,781","Aster Community Solar Garden, LLC",Raymond,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.13,0.16,"2,015"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,,"1491 91st Street, Slayton, Murray County, MN 56172, United States of America","10","1491 91st St, Slayton, MN 56172","13,781","Auriga Community Solar Garden, LLC",Slayton,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.12,0.16,"2,018"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,Faribault,"23749 Albers Ave, Faribault, MN, United States of America","10","23749 Albers Avenue, Faribault, MN 55021","13,781",Cannon Garden LLC,Faribault,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.05,0.07,"2,015"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,Belgrade,"21472 343rd Ave, Belgrade, MN, United States of America","10","21472 343rd Ave, Belgrade, MN 56312","13,781","Canopus Community Solar Garden, LLC",Belgrade,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,1.06,1.37,
US,USA,building,building,North America,United States of America,us,Minnesota,MN,,"18978 293rd Avenue, Paynesville Township, MN 56362, United States of America","10","18978 293rd Avenue, Paynesville, MN 56362","13,781","Capricornus Community Solar Garden, LLC",Paynesville,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.54,0.7,"2,017"
US,USA,road,road,North America,United States of America,us,Minnesota,MN,,"State Highway 28, Spaulding, Sauk Centre Township, MN 56336, United States of America","7","19019 State Highway 28, Glenwood, MN 56334","13,781","Cassiopeia Community Solar Gardens, LLC",Glenwood,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.54,0.7,"2,017"
US,USA,road,road,North America,United States of America,us,Minnesota,MN,Belgrade,"Hwy 55 NE, Belgrade, MN, United States of America","9","15515 Hwy 55, Belgrade, MN 56312","13,781","Deneb Community Solar Garden, LLC",Belgrade,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.54,0.7,"2,017"
US,USA,road,road,North America,United States of America,us,Minnesota,MN,,"County Highway 34, Newry Township, Freeborn County, MN, United States of America","9","14131 County Hwy 34, Claremont, MN 55924","13,781","Kaus Community Solar Garden, LLC",Claremont,MN,Northern States Power Co - Minnesota,Investor Owned,Cooperative,0.54,0.7,"2,017"
US,USA,building,building,North America,United States of America,us,Minnesota,MN,,"4206 Southwest 8th Street, Meriden Township, Owatonna Township, MN 55060, United States of America","10","4206 SW 8th St, Owatonna, MN 55060","3,519",Lemond Solar,Owatonna,MN,Central Municipal Power Agency/Services,Political Subdivision,Cooperative,0.54,0.7,"2,017"
